N,P,K,temperature,humidity,ph,rainfall
0.0,0.045454547,0.0,0.8026537,0.9763937,0.8271324,0.4792553
0.028571429,0.9909091,1.0,0.7894052,0.81974036,0.0026490507,0.18007375
0.04761905,0.5272727,0.049723756,0.18120763,0.0,0.020938914,0.65475136
0.30476192,0.22727273,0.016574586,0.5534687,0.5409615,0.36705863,0.0
0.114285715,0.0,0.0,0.0,0.9737021,0.32271707,0.5113699
0.8952381,0.3,0.016574586,0.4004968,0.750832,0.4363114,0.18663412
0.73333335,0.6,0.22099447,0.46973178,0.8540375,0.0,0.3776
0.0,0.0,0.0,1.0,0.9559685,1.0,0.50449914
0.2857143,1.0,1.0,0.49650925,0.86303216,0.33409095,0.18722953
0.0,0.6,0.0,0.20969486,0.60149854,0.97680116,0.0
0.23809524,0.10909091,0.0,0.0,0.94859606,0.7307192,0.462236
0.14285715,0.34545454,0.0,0.7733784,0.9365728,0.56088144,0.052515112
1.0,0.17272727,0.10497238,0.55072564,0.41295716,0.60098803,0.5616097
0.00952381,0.45454547,0.049723756,0.0672624,0.58709335,0.63113827,0.08314262
0.84761906,0.21818182,0.110497236,0.6256582,0.64319223,0.39434868,0.982792
0.8095238,0.07272727,0.06077348,0.55514354,0.48695174,0.853977,0.97779703
1.0,0.6727273,0.18232045,0.6173024,0.7699763,0.31972563,0.38278115
0.13333334,0.24545455,0.0,0.7883836,0.9208389,0.82285523,0.03149313
0.75238097,0.0,0.20994475,0.68995446,0.9885552,0.44435304,0.0
0.22857143,0.9909091,1.0,0.198324,0.9864706,0.0041346266,0.42584723
0.07619048,0.9818182,1.0,0.0,0.85969985,0.29887232,0.2213825
0.7904762,0.0,0.17679559,0.80378014,1.0,0.38402086,0.0
0.8095238,0.6454545,0.2044199,0.75778264,0.78852946,0.4156967,0.49939737
0.33333334,0.44545454,0.0,0.7747549,0.5828068,0.90314335,0.16185752
0.21904762,0.25454545,0.03314917,0.9266701,0.56443834,1.0,0.157508
0.2761905,0.55454546,0.038674034,0.5831669,0.5661231,0.67152655,0.017474344
0.8857143,0.14545454,0.22099447,0.76105964,0.9686967,0.5517326,0.0
0.07619048,0.4181818,0.038674034,0.3746762,0.6357722,0.60492194,0.043515254
0.17142858,0.12727273,0.0,0.017678821,0.99390835,0.29808983,0.51138294
0.0,0.38181818,0.055248618,0.6877009,0.29342887,0.0,0.036250506
